NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
CHR7P13	54	40		
CHR7P14	173	121		
CHR7P15	101	73		
CHR7P21	88	58		
CHR7P22	133	107		
CHR7Q11	270	182		
CHR7Q21	177	116		
CHR7Q22	219	185		
CHR7Q31	140	79		
CHR7Q32	97	74		
CHR7Q33	58	38		
CHR7Q34	185	141		
CHR7Q35	65	37		
CHR7Q36	157	121		
CHR8P11	103	68		
CHR8P12	72	43		
CHR8P21	135	99		
CHR8P22	47	29		
CHR8P23	234	112		
CHR8Q11	76	34		
CHR8Q12	91	53		
CHR8Q13	76	49		
CHR8Q21	191	122		
CHR8Q22	166	116		
CHR8Q23	50	27		
CHR8Q24	354	247		
CHR9P11	52	25		
CHR9P12	18		Rejected!	
CHR9P13	174	128		
CHR9P21	124	65		
CHR9P22	53	30		
CHR9P23	20		Rejected!	
CHR9P24	105	80		
CHR9Q12	8		Rejected!	
CHR9Q13	56	32		
CHR9Q21	199	132		
CHR9Q22	199	137		
CHR9Q31	137	91		
CHR9Q32	50	42		
CHR9Q33	136	91		
CHR9Q34	324	259		
CHRXP11	378	225		
CHRXP21	84	33		
CHRXP22	250	159		
CHRXQ11	30	18		
CHRXQ12	26	19		
CHRXQ13	165	112		
CHRXQ21	142	66		
CHRXQ22	172	123		
CHRXQ23	89	43		
CHRXQ24	81	52		
CHRXQ25	48	26		
CHRXQ26	172	85		
CHRXQ27	91	23		
CHRXQ28	212	132		
CHRYP11	152	40		
CHRYQ11	311	45		
CHRYQ12	12		Rejected!	
