NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHR14Q13	CHR14Q13		36	-0.19277911	-0.7572394	0.85685885	0.9666541	1.0	9511	tags=39%, list=33%, signal=58%	
CHR12P11	CHR12P11		63	-0.17132567	-0.7545859	0.89375	0.9646068	1.0	2592	tags=13%, list=9%, signal=14%	
CHR5Q15	CHR5Q15		48	-0.19480531	-0.74681574	0.87857145	0.9696331	1.0	8416	tags=35%, list=30%, signal=50%	
CHR11Q23	CHR11Q23		154	-0.17306235	-0.7385181	0.92291665	0.9740625	1.0	6038	tags=25%, list=21%, signal=31%	
CHR9P21	CHR9P21		65	-0.15999916	-0.72405636	0.89591837	0.9855413	1.0	8859	tags=34%, list=31%, signal=49%	
CHR5Q32	CHR5Q32		50	-0.19758071	-0.72227913	0.8636364	0.98146516	1.0	6010	tags=30%, list=21%, signal=38%	
CHR17P12	CHR17P12		40	-0.18117341	-0.7030488	0.9291667	0.9949015	1.0	3548	tags=15%, list=12%, signal=17%	
CHR17Q23	CHR17Q23		87	-0.16581425	-0.6963091	0.9334764	0.9949401	1.0	4780	tags=18%, list=17%, signal=22%	
CHR3Q27	CHR3Q27		88	-0.14240532	-0.692929	0.9694501	0.99224085	1.0	5690	tags=18%, list=20%, signal=23%	
CHR2Q24	CHR2Q24		84	-0.15734705	-0.69247323	0.938326	0.98682076	1.0	9999	tags=38%, list=35%, signal=59%	
CHR1Q43	CHR1Q43		37	-0.16427971	-0.6713153	0.9127517	0.9979185	1.0	8906	tags=32%, list=31%, signal=47%	
CHR7P14	CHR7P14		121	-0.15139605	-0.66822433	0.9631236	0.99430484	1.0	10580	tags=43%, list=37%, signal=68%	
CHR21Q22	CHR21Q22		220	-0.15060988	-0.66768456	0.987315	0.9888819	1.0	4838	tags=18%, list=17%, signal=21%	
CHR2Q37	CHR2Q37		159	-0.1446649	-0.6650253	0.95957446	0.9846772	1.0	2862	tags=11%, list=10%, signal=12%	
CHR4Q27	CHR4Q27		25	-0.18684404	-0.64944726	0.88752556	0.9886048	1.0	7794	tags=32%, list=27%, signal=44%	
CHR8Q13	CHR8Q13		49	-0.17444767	-0.6386011	0.94196427	0.98862576	1.0	11285	tags=47%, list=40%, signal=78%	
CHR18Q23	CHR18Q23		26	-0.17435451	-0.59269094	0.95878524	1.0	1.0	9873	tags=38%, list=35%, signal=59%	
CHR2P24	CHR2P24		45	-0.15650904	-0.5889441	0.99793386	0.99680555	1.0	2732	tags=11%, list=10%, signal=12%	
CHR1P33	CHR1P33		35	-0.16642494	-0.5875139	0.9758551	0.9916301	1.0	10043	tags=34%, list=35%, signal=53%	
CHR21P11	CHR21P11		22	-0.16992216	-0.57410514	0.9685767	0.98956186	1.0	1816	tags=9%, list=6%, signal=10%	
CHR5Q34	CHR5Q34		21	-0.17170171	-0.555269	0.98888886	0.9880313	1.0	6296	tags=24%, list=22%, signal=31%	
