NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MIR4452	163	159		
MIR4453	27	26		
MIR4455	109	101		
MIR4456	133	122		
MIR4457	123	118		
MIR4458	356	342		
MIR4460	84	80		
MIR4462	15		Rejected!	
MIR4463	84	78		
MIR4464	70	70		
MIR4465	426	414		
MIR4468	119	107		
MIR4469	112	108		
MIR4470	250	242		
MIR4471	72	70		
MIR4472	110	104		
MIR4473	87	86		
MIR4474_3P	87	81		
MIR4474_5P	51	47		
MIR4475	68	67		
MIR4476	230	217		
MIR4477A	390	368		
MIR4477B	265	255		
MIR4478	186	174		
MIR448	364	343		
MIR4480	58	54		
MIR4481	133	123		
MIR4482_3P	480	452		
MIR4482_5P	42	40		
MIR4483	98	89		
MIR4484	33	33		
MIR4485_5P	8		Rejected!	
MIR4486	34	33		
MIR4487	80	73		
MIR4489	55	49		
MIR4490	99	96		
MIR4491	73	68		
MIR4492	416	395		
MIR4493	96	94		
MIR4494	57	56		
MIR4495	483	461		
MIR4496	289	267		
MIR4497	8		Rejected!	
MIR4498	250	238		
MIR4499	117	109		
MIR449A	306	295		
MIR449B_3P	123	108		
MIR449B_5P	255	246		
MIR449C_3P	55	52		
MIR449C_5P	139	129		
MIR4500	519		Rejected!	
MIR4501	77	73		
MIR4502	80	76		
MIR4503	281	261		
MIR4504	157	152		
MIR4505	255	239		
MIR4506	43	41		
MIR4507	38	34		
MIR4509	71	66		
MIR450A_1_3P	194	185		
MIR450A_2_3P	130	127		
MIR450B_3P	46	45		
MIR450B_5P	485	454		
MIR4510	194	183		
MIR4511	163	155		
MIR4512	22	21		
MIR4513	49	47		
MIR4514	186	179		
MIR4515	45	42		
MIR4516	321	300		
MIR4517	221	204		
MIR4518	92	88		
MIR4519	84	79		
MIR451A	7		Rejected!	
MIR451B	169	163		
MIR4520_2_3P	126	118		
MIR4520_3P	91	81		
MIR4520_5P	6		Rejected!	
MIR4521	73	71		
MIR4522	58	57		
MIR4524A_3P	232	221		
MIR4524A_5P	240	231		
MIR4524B_3P	72	69		
MIR4524B_5P	240	231		
MIR4525	37	35		
MIR4526	101	94		
MIR4527	69	67		
MIR4528	218	204		
MIR4529_3P	46	40		
MIR4529_5P	51	48		
MIR452_3P	131	129		
MIR452_5P	220	213		
MIR4530	145	138		
MIR4531	333	320		
MIR4533	339	320		
MIR4534	161	150		
MIR4535	29	29		
MIR4536_3P	22	21		
MIR4536_5P	45	42		
MIR4537	6		Rejected!	
MIR4538	27	26		
MIR4539	80	74		
MIR4540	50	48		
MIR454_3P	433	422		
MIR454_5P	25	25		
MIR455_3P	92	87		
MIR455_5P	88	83		
MIR4632_5P	104	98		
MIR4633_3P_MIR6500_5P	37	36		
MIR4633_5P	46	45		
MIR4635	134	129		
MIR4636	5		Rejected!	
MIR4637	61	58		
MIR4638_3P	61	57		
MIR4638_5P	5		Rejected!	
MIR4639_3P	72	69		
MIR4639_5P	99	89		
MIR4640_3P	16	16		
MIR4640_5P	134	126		
MIR4641	64	57		
MIR4642	102	97		
MIR4643	215	202		
MIR4644	302	273		
MIR4645_3P	111	103		
MIR4645_5P	121	113		
MIR4646_3P	58	58		
MIR4646_5P	149	140		
MIR4647_MIR4662B	88	83		
MIR4648	44	43		
MIR4649_3P	201	195		
MIR4649_5P	8		Rejected!	
MIR4650_3P	137	133		
MIR4650_5P	74	73		
MIR4651	203	188		
MIR4652_3P	330	324		
MIR4652_5P	37	37		
MIR4653_3P	54	51		
MIR4653_5P	148	141		
MIR4654	53	49		
MIR4656	109	105		
MIR4657	72	67		
MIR4658	47	42		
MIR4659A_3P_MIR4659B_3P	679		Rejected!	
MIR4659A_5P	78	73		
MIR4659B_5P	99	94		
MIR466	414	387		
MIR4660	139	127		
MIR4661_3P	32	30		
MIR4661_5P	39	38		
MIR4662A_3P	68	63		
MIR4662A_5P	90	85		
MIR4663	66	60		
MIR4664_5P	81	78		
MIR4665_5P	152	141		
MIR4666A_3P	548		Rejected!	
MIR4666A_5P	251	240		
MIR4666B	126	123		
MIR4667_3P	130	124		
MIR4667_5P	169	160		
MIR4668_3P	303	291		
MIR4668_5P	473	452		
MIR4669	11		Rejected!	
MIR4670_3P	154	148		
MIR4671_3P	214	209		
MIR4671_5P	8		Rejected!	
MIR4672	364	352		
MIR4673	149	140		
MIR4675	45	44		
MIR4676_3P	212	205		
MIR4676_5P	55	53		
MIR4677_3P	138	129		
MIR4677_5P	257	237		
MIR4678	112	105		
MIR4679	158	149		
MIR4680_3P	258	250		
MIR4680_5P	70	69		
MIR4681	5		Rejected!	
MIR4682	134	124		
MIR4683	53	49		
MIR4684_3P	122	115		
MIR4684_5P	181	170		
MIR4685_3P	128	124		
MIR4685_5P	121	114		
MIR4686	85	77		
MIR4687_3P	85	84		
MIR4687_5P	44	42		
MIR4688	47	45		
MIR4689	88	84		
MIR4690_3P	68	68		
MIR4690_5P	75	72		
MIR4691_3P	96	92		
MIR4691_5P	128	124		
MIR4692	228	219		
MIR4693_3P	61	55		
MIR4693_5P	109	105		
MIR4694_3P	311	291		
MIR4694_5P	40	38		
MIR4695_3P	78	71		
MIR4695_5P	88	86		
MIR4696	99	94		
MIR4697_3P	118	109		
MIR4697_5P	19	17		
MIR4698	644		Rejected!	
MIR4699_3P	488	463		
MIR4699_5P	119	112		
MIR4700_3P	101	96		
MIR4700_5P	216	202		
MIR4701_3P	51	48		
MIR4701_5P	127	122		
MIR4703_3P	41	40		
MIR4703_5P	246	217		
MIR4704_3P	149	140		
MIR4704_5P	59	57		
MIR4705	124	116		
MIR4707_5P	9		Rejected!	
MIR4708_3P	103	101		
MIR4708_5P	92	90		
MIR4709_3P	165	155		
MIR4709_5P	105	100		
MIR4710	80	74		
MIR4711_3P	82	76		
MIR4711_5P	103	102		
MIR4712_3P	68	62		
MIR4712_5P	99	95		
MIR4713_3P	43	42		
MIR4713_5P	154	146		
MIR4714_3P	56	53		
MIR4714_5P	105	92		
MIR4715_3P	69	65		
MIR4715_5P	43	38		
MIR4716_3P	83	82		
MIR4716_5P	122	117		
MIR4717_3P	76	68		
MIR4717_5P	106	105		
MIR4718	105	94		
MIR4719	526	500		
MIR4720_3P	114	109		
MIR4720_5P	89	83		
MIR4721	72	64		
MIR4722_3P	85	77		
MIR4722_5P	136	126		
MIR4723_3P	82	74		
MIR4723_5P	209	197		
MIR4724_3P	81	78		
MIR4724_5P	138	127		
MIR4725_3P	284	267		
MIR4725_5P	56	56		
MIR4726_3P	75	72		
MIR4726_5P	100	94		
MIR4727_3P	31	28		
MIR4727_5P	115	110		
MIR4728_3P	114	110		
MIR4728_5P	570		Rejected!	
MIR4729	717		Rejected!	
MIR4730	7		Rejected!	
MIR4731_3P	228	206		
MIR4731_5P	256	244		
MIR4732_3P	87	86		
MIR4732_5P	22	21		
MIR4733_3P	72	67		
MIR4733_5P	94	90		
MIR4735_3P	114	108		
MIR4735_5P	187	181		
MIR4736	111	108		
MIR4737	5		Rejected!	
MIR4738_3P	181	175		
MIR4739	145	137		
MIR4740_3P	7		Rejected!	
MIR4740_5P	71	66		
MIR4741	49	48		
MIR4742_3P	219	211		
MIR4742_5P	179	175		
MIR4743_3P	209	202		
MIR4744	175	169		
MIR4745_5P	84	79		
MIR4746_5P	9		Rejected!	
MIR4747_5P	278	261		
MIR4748	69	69		
MIR4749_3P	53	50		
MIR4749_5P	5		Rejected!	
MIR4750_3P	38	37		
MIR4751	36	34		
MIR4752	86	80		
MIR4753_3P	559		Rejected!	
MIR4753_5P	181	174		
MIR4755_3P	145	142		
MIR4755_5P	365	350		
MIR4756_3P	114	105		
MIR4756_5P	141	133		
MIR4757_5P	63	62		
MIR4758_3P	54	50		
MIR4759	51	50		
MIR4760_3P	279	269		
MIR4760_5P	195	186		
MIR4761_3P	52	50		
MIR4761_5P	67	62		
MIR4762_3P	279	263		
MIR4762_5P	144	135		
MIR4763_3P	247	238		
MIR4763_5P	55	48		
MIR4764_3P	68	67		
MIR4764_5P	75	73		
MIR4765	52	51		
MIR4766_3P	160	136		
MIR4766_5P	323	312		
MIR4768_3P	196	188		
MIR4768_5P	326	315		
MIR4769_3P	109	104		
MIR4769_5P	42	40		
MIR4771	51	48		
MIR4772_3P	91	88		
MIR4772_5P	53	51		
MIR4773	194	181		
MIR4774_3P	82	77		
MIR4774_5P	94	92		
MIR4776_3P	161	142		
MIR4776_5P	47	46		
MIR4777_3P	69	63		
MIR4777_5P	115	105		
MIR4778_3P	254	230		
MIR4778_5P	176	170		
MIR4779	146	130		
MIR4780	42	42		
MIR4781_3P	39	36		
MIR4781_5P	7		Rejected!	
MIR4782_3P	150	146		
MIR4782_5P	163	150		
MIR4784	153	146		
MIR4786_3P	164	155		
MIR4786_5P	93	90		
MIR4787_5P	7		Rejected!	
MIR4789_3P	343	323		
MIR4789_5P	382	372		
MIR4790_3P	86	81		
MIR4790_5P	16	15		
MIR4791	68	63		
MIR4793_3P	71	69		
MIR4793_5P	74	69		
MIR4794	101	99		
MIR4795_3P	729		Rejected!	
MIR4795_5P	72	69		
MIR4796_3P	249	240		
MIR4796_5P	99	95		
MIR4797_3P	100	90		
MIR4797_5P	119	115		
MIR4798_3P	12		Rejected!	
MIR4799_3P	88	82		
MIR4799_5P	406	392		
MIR4800_5P	24	23		
MIR4801	273	251		
MIR4802_3P	166	148		
MIR4802_5P	64	55		
MIR4803	459	438		
MIR4804_3P	85	81		
MIR4804_5P	9		Rejected!	
MIR483_3P	55	54		
MIR483_5P	7		Rejected!	
MIR484	87	85		
MIR485_3P	231	211		
MIR485_5P	139	134		
MIR486_3P	169	165		
MIR486_5P	94	87		
MIR487A_3P	102	100		
MIR487A_5P	108	104		
MIR487B_3P	9		Rejected!	
MIR487B_5P	107	103		
MIR488_3P	194	182		
MIR488_5P	79	76		
MIR489_3P	77	75		
MIR490_3P	49	47		
MIR490_5P	45	42		
MIR491_3P	120	112		
MIR491_5P	107	99		
MIR492	24	24		
MIR493_3P	68	65		
MIR493_5P	463	443		
MIR494_3P	382	367		
MIR494_5P	41	40		
MIR495_3P	705		Rejected!	
MIR495_5P	69	67		
MIR496	110	103		
MIR497_3P	233	221		
MIR497_5P	519		Rejected!	
MIR498_3P	217	212		
MIR498_5P	244	239		
MIR4999_3P	38	35		
MIR4999_5P	100	86		
MIR499A_3P	166	161		
MIR499A_5P	175	167		
MIR499B_3P	168	163		
MIR499B_5P	98	94		
MIR5000_3P	106	101		
MIR5000_5P	102	93		
MIR5001_3P	156	146		
MIR5001_5P	169	162		
MIR5002_3P	51	48		
MIR5002_5P	261	255		
MIR5003_3P	332	311		
MIR5003_5P	198	187		
MIR5004_3P	135	122		
MIR5004_5P	122	113		
MIR5006_3P	366	351		
MIR5006_5P	121	112		
MIR5007_3P	122	110		
MIR5007_5P	58	54		
MIR5008_3P	169	162		
MIR5008_5P	86	82		
MIR5009_3P	172	165		
MIR5009_5P	59	56		
MIR500A_3P	82	72		
MIR500A_5P	151	147		
MIR500B_3P	80	74		
MIR500B_5P	57	53		
MIR5010_3P	312	293		
MIR5010_5P	38	36		
MIR5011_3P	57	48		
MIR501_3P_MIR502_3P	73	70		
MIR501_5P	152	144		
MIR502_5P	74	68		
MIR503_3P	40	35		
MIR503_5P	99	95		
MIR504_3P	145	138		
MIR504_5P	57	57		
MIR505_3P	111	108		
MIR505_5P	55	52		
MIR506_3P	748		Rejected!	
MIR506_5P	137	128		
MIR507	264	251		
MIR5087	94	92		
MIR5088_3P	126	114		
MIR5088_5P	39	37		
MIR5089_3P	70	67		
MIR5089_5P	111	106		
MIR508_3P	107	95		
MIR508_5P	101	95		
MIR5092	8		Rejected!	
MIR5093	244	233		
MIR5094	92	87		
MIR509_3P	61	55		
MIR509_3_5P	168	167		
MIR509_5P	169	168		
MIR5100	94	87		
MIR510_3P	376	359		
MIR510_5P	70	65		
MIR511_3P	170	162		
MIR511_5P	323	297		
MIR512_3P	106	105		
MIR512_5P	59	57		
MIR513A_3P_MIR513C_3P	449	428		
MIR513A_5P	369	346		
MIR513B_3P	160	153		
MIR513B_5P	292	272		
MIR513C_5P	174	168		
MIR514A_3P_MIR514B_3P	108	105		
MIR514A_5P	68	63		
MIR514B_5P	177	171		
MIR515_3P	67	64		
MIR515_5P	304	292		
MIR516A_3P_MIR516B_3P	176	160		
MIR516A_5P	6		Rejected!	
MIR516B_5P	129	118		
MIR517A_3P_MIR517B_3P_MIR517C_3P	19	19		
MIR517_5P	91	87		
MIR5186	37	33		
MIR5187_3P	99	96		
MIR5187_5P	108	99		
MIR5189_3P	56	53		
MIR5189_5P	146	140		
MIR518A_3P_MIR518B_MIR518C_3P_MIR518D_3P_MIR518F_3P_MIR526A_3P	8		Rejected!	
MIR518A_5P_MIR527	262	246		
MIR518C_5P	198	190		
MIR518D_5P_MIR518F_5P_MIR520C_5P_MIR526A_5P	89	89		
MIR518E_5P_MIR519A_5P_MIR519B_5P_MIR519C_5P_MIR522_5P_MIR523_5P	86	86		
MIR5190	132	125		
MIR5191	29	25		
MIR5192	47	46		
MIR5193	173	160		
MIR5194	43	38		
MIR5195_3P	311	301		
MIR5195_5P	20	19		
MIR5196_3P	71	65		
MIR5196_5P	289	271		
MIR5197_3P	199	191		
MIR5197_5P	185	178		
MIR519A_2_5P_MIR520B_5P	213	198		
MIR519A_3P_MIR519B_3P	403	384		
MIR519C_3P	404	385		
MIR519D_3P	612		Rejected!	
MIR519D_5P	239	229		
MIR519E_3P	66	63		
MIR519E_5P	308	296		
MIR520A_3P	331	322		
MIR520A_5P	159	151		
MIR520B_3P_MIR520C_3P_MIR520E_3P	328	319		
MIR520D_3P	330	321		
MIR520D_5P	939		Rejected!	
MIR520E_5P	165	157		
MIR520F_3P	198	196		
MIR520F_5P	197	185		
MIR520G_3P_MIR520H	209	198		
MIR520G_5P	60	54		
MIR522_3P	181	176		
MIR524_3P_MIR525_3P	13		Rejected!	
MIR524_5P	941		Rejected!	
MIR525_5P	157	149		
MIR526B_3P	610		Rejected!	
MIR526B_5P	103	99		
MIR532_3P	84	80		
MIR532_5P	80	78		
MIR539_3P	231	211		
MIR539_5P	388	370		
MIR541_3P	99	92		
MIR541_5P	121	114		
MIR542_3P	139	131		
MIR543	332	319		
MIR544A	219	207		
MIR544B	220	212		
MIR545_3P	380	363		
MIR545_5P	312	302		
MIR548AA_MIR548AP_3P_MIR548T_3P	548		Rejected!	
MIR548AB	496	476		
MIR548AC	610		Rejected!	
MIR548AD_3P	26	26		
MIR548AD_5P_MIR548AE_5P_MIR548AY_5P_MIR548B_5P_MIR548D_5P	497	477		
MIR548AE_3P_MIR548AQ_3P	786		Rejected!	
MIR548AG	169	163		
MIR548AH_3P_MIR548AM_3P	783		Rejected!	
MIR548AH_5P	350	330		
MIR548AI_MIR570_5P	172	166		
MIR548AJ_3P_MIR548X_3P	913		Rejected!	
MIR548AJ_5P_MIR548G_5P_MIR548X_5P	485	455		
MIR548AK_MIR548AM_5P_MIR548C_5P_MIR548H_5P_MIR548O_5P_MIR548AU_5P	496	476		
MIR548AL	12		Rejected!	
MIR548AN	484	468		
MIR548AO_3P	20	19		
MIR548AO_5P_MIR548AX	175	167		
MIR548AP_5P_MIR548J_5P	494	473		
MIR548AQ_5P	498	478		
MIR548AR_3P	575		Rejected!	
MIR548AR_5P	502	482		
MIR548AS_3P	261	250		
MIR548AS_5P	494	474		
MIR548AT_3P	60	59		
MIR548AT_5P	355	340		
MIR548AU_3P	172	164		
MIR548AV_3P	177	171		
MIR548AV_5P_MIR548K	307	290		
MIR548AW	600		Rejected!	
MIR548AY_3P	57	56		
MIR548AZ_3P	490	475		
MIR548AZ_5P	427	409		
MIR548A_3P	485	470		
MIR548A_5P	496	476		
MIR548BA	170	164		
MIR548BB_3P	605		Rejected!	
MIR548BB_5P	499	479		
MIR548BC	485	470		
MIR548B_3P	104	101		
MIR548D_3P	611		Rejected!	
MIR548E_3P	485	470		
MIR548E_5P	745		Rejected!	
MIR548F_3P	488	473		
MIR548F_5P	485	454		
MIR548G_3P	238	229		
MIR548H_3P_MIR548Z	611		Rejected!	
MIR548I	494	474		
MIR548J_3P	783		Rejected!	
MIR548L	366	349		
MIR548M	186	178		
MIR548N	617		Rejected!	
MIR548O_3P	281	273		
MIR548O_5P_MIR548W	496	476		
MIR548P	600		Rejected!	
MIR548Q	46	46		
MIR548S	131	128		
MIR548T_5P	423	405		
MIR548U	155	145		
MIR548V	137	130		
MIR548Y	505	485		
MIR549A_3P	80	74		
MIR549A_5P	54	43		
MIR550A_3P	78	74		
MIR550A_3_5P_MIR550A_5P	71	68		
MIR550B_2_5P	48	45		
MIR550B_3P	57	55		
MIR551A_MIR551B_3P	5		Rejected!	
MIR551B_5P	507	498		
MIR552_3P	59	56		
MIR552_5P	189	183		
MIR553	14		Rejected!	
MIR554	21	21		
MIR555	46	41		
MIR556_3P	137	125		
MIR556_5P	42	39		
MIR557	225	216		
MIR5571_3P	48	45		
MIR5571_5P	158	149		
MIR5572	82	79		
MIR5579_3P	160	155		
MIR5579_5P	78	73		
MIR558	114	106		
MIR5580_3P	248	237		
MIR5580_5P	117	112		
MIR5581_3P	148	128		
MIR5581_5P	75	68		
MIR5582_3P	674		Rejected!	
MIR5582_5P	390	382		
MIR5583_3P	87	84		
MIR5583_5P	106	98		
MIR5584_3P	140	131		
MIR5584_5P	265	259		
MIR5585_3P	89	81		
MIR5585_5P	138	127		
MIR5586_3P	53	48		
MIR5586_5P	80	75		
MIR5587_5P	112	108		
MIR5588_3P	45	43		
MIR5588_5P	90	84		
MIR5589_3P	170	158		
MIR5589_5P	76	70		
MIR559	558		Rejected!	
MIR5590_3P	355	337		
MIR5590_5P	117	110		
MIR5591_3P	46	42		
MIR5591_5P	65	63		
MIR561_3P	497	472		
MIR561_5P	151	147		
MIR562	65	60		
MIR563	35	34		
MIR564	15		Rejected!	
MIR567	108	103		
MIR568	267	255		
MIR5680	469	456		
MIR5681A	155	144		
MIR5681B	55	52		
MIR5682	219	212		
MIR5683	241	217		
MIR5684	41	39		
MIR5685	70	70		
MIR5687	20	19		
MIR5688	787		Rejected!	
MIR5689	156	146		
MIR569	77	73		
MIR5690	118	111		
MIR5691_MIR6805_3P	154	142		
MIR5692B_MIR5692C	408	384		
MIR5693	90	84		
MIR5694	54	51		
MIR5695	95	86		
MIR5696	704		Rejected!	
MIR5697	153	148		
MIR5698	201	190		
MIR5699_3P	72	67		
MIR5699_5P	112	108		
MIR5700	304	289		
MIR5701	210	188		
MIR5702	78	71		
MIR5703	173	168		
MIR5704	54	53		
MIR5705	5		Rejected!	
MIR5706	163	149		
MIR570_3P	771		Rejected!	
MIR571	66	59		
MIR573	91	83		
MIR5739	7		Rejected!	
MIR574_3P	5		Rejected!	
MIR574_5P	82	74		
MIR575	53	51		
MIR576_3P	63	58		
MIR576_5P	348	334		
MIR577	337	310		
MIR578	178	173		
MIR5787	249	234		
MIR579_3P	509	483		
MIR580_3P	216	208		
MIR580_5P	238	222		
MIR581	81	77		
MIR582_3P	100	95		
MIR582_5P	365	343		
MIR583	180	165		
MIR584_3P	111	105		
MIR584_5P	87	81		
MIR585_5P	134	130		
MIR586	274	255		
MIR587	364	347		
MIR588	127	121		
MIR589_3P	256	246		
MIR589_5P	87	85		
MIR590_5P	131	125		
MIR591	50	47		
MIR592	77	75		
MIR593_3P	143	132		
MIR593_5P	164	157		
MIR595	67	61		
MIR596	32	27		
MIR597_3P	107	100		
MIR597_5P	78	72		
MIR598_3P	10		Rejected!	
MIR598_5P	5		Rejected!	
MIR599	86	80		
MIR600	141	132		
MIR601	39	39		
MIR602	8		Rejected!	
MIR603	173	166		
MIR604	16	15		
MIR605_3P	257	255		
MIR605_5P	132	127		
MIR606	92	92		
MIR6069	29	26		
MIR607	981		Rejected!	
MIR6071	180	173		
MIR6072	77	75		
MIR6073	102	100		
MIR6074	276	262		
MIR6076	51	49		
MIR6077	239	214		
MIR6079	144	135		
MIR608	210	197		
MIR6080	48	45		
MIR6081	108	97		
MIR6082	17	16		
MIR6083	260	243		
MIR6085	39	36		
MIR6086	50	43		
MIR6088	168	163		
MIR6089	16	16		
MIR609	34	29		
MIR6090	10		Rejected!	
MIR610	84	82		
MIR612	102	98		
MIR6124	449	433		
MIR6125	9		Rejected!	
MIR6126	119	114		
MIR6127	214	201		
MIR6128	169	167		
MIR6129	198	187		
MIR613	321	301		
MIR6130	193	182		
MIR6131	98	95		
MIR6132	132	121		
MIR6133	197	186		
MIR6134	134	128		
MIR615_3P	6		Rejected!	
MIR615_5P	38	35		
MIR6165	120	114		
MIR616_3P	46	43		
MIR616_5P	961		Rejected!	
MIR617	63	61		
MIR618	74	71		
MIR619_3P	60	56		
MIR619_5P	138	137		
MIR620	76	66		
MIR621	36	34		
MIR622	83	80		
MIR623	119	117		
MIR624_3P	98	97		
MIR624_5P	105	100		
MIR625_3P	51	49		
MIR625_5P	210	199		
MIR626	54	50		
MIR627_3P	471	450		
MIR627_5P	42	39		
MIR628_3P	85	82		
MIR628_5P	82	78		
MIR629_3P	183	171		
MIR629_5P	109	96		
MIR630	80	78		
MIR631	52	50		
MIR632	61	57		
MIR633	143	134		
MIR634	86	82		
MIR635	50	47		
MIR636	226	205		
MIR637	92	88		
MIR640	56	54		
MIR641	259	250		
MIR642A_3P_MIR642B_3P	137	130		
MIR642A_5P	89	80		
MIR642B_5P	75	71		
MIR643	64	63		
MIR644A	63	59		
MIR645	40	38		
MIR646	247	240		
MIR647	83	78		
MIR648	51	49		
MIR649	71	68		
MIR6499_3P	127	122		
MIR650	116	109		
MIR6500_3P	81	79		
MIR6501_3P	147	139		
MIR6501_5P	72	64		
MIR6502_3P	56	53		
MIR6502_5P	53	45		
MIR6503_3P	31	29		
MIR6503_5P	55	53		
MIR6504_3P	372	359		
MIR6504_5P	142	136		
MIR6505_3P	97	87		
MIR6505_5P	201	186		
MIR6506_3P	6		Rejected!	
MIR6506_5P	100	99		
MIR6507_3P	123	118		
MIR6507_5P	343	325		
MIR6508_3P	49	45		
MIR6508_5P	346	329		
MIR6509_3P	137	125		
MIR6509_5P	95	87		
MIR6510_5P	86	81		
MIR6511A_3P_MIR6511B_3P	58	56		
MIR6511A_5P	196	194		
MIR6511B_5P	73	70		
MIR6512_3P	130	124		
MIR6512_5P	117	113		
MIR6513_3P	145	137		
MIR6513_5P	99	95		
MIR6514_3P	70	66		
MIR6514_5P	54	47		
MIR6515_3P	219	209		
MIR6515_5P	92	88		
MIR6516_3P	144	138		
MIR6516_5P	188	181		
MIR651_3P	815		Rejected!	
MIR651_5P	121	114		
MIR6529_3P	85	82		
MIR6529_5P	46	44		
MIR652_3P	5		Rejected!	
MIR652_5P	36	35		
MIR653_3P	139	135		
MIR653_5P	130	126		
MIR654_3P	81	79		
MIR654_5P	100	93		
MIR655_3P	423	399		
MIR655_5P	79	75		
MIR656_3P	404	394		
MIR656_5P	38	36		
MIR657	73	67		
MIR659_3P	218	211		
MIR659_5P	26	25		
MIR660_3P	99	93		
MIR660_5P	73	69		
MIR661	160	152		
MIR662	5		Rejected!	
MIR663A	17		Rejected!	
MIR663B	38	37		
MIR664A_3P	416	387		
MIR664A_5P	77	75		
MIR664B_3P	503	477		
MIR664B_5P	57	53		
MIR665	132	125		
MIR668_3P	61	58		
MIR670_3P	296	284		
MIR670_5P	248	239		
MIR6715A_3P	164	157		
MIR6715B_3P	131	127		
MIR6715B_5P	222	213		
MIR6716_5P	129	120		
MIR6717_5P	5		Rejected!	
MIR6718_5P	71	66		
MIR6719_3P	122	115		
MIR671_5P	132	125		
MIR6720_5P	133	127		
MIR6721_5P	340	316		
MIR6722_3P	183	177		
MIR6724_5P	21	20		
MIR6726_5P	50	48		
MIR6727_3P	113	102		
MIR6728_3P	151	145		
MIR6728_5P	70	61		
MIR6729_3P	71	69		
MIR6729_5P	10		Rejected!	
MIR6730_3P	87	83		
MIR6730_5P	135	129		
MIR6731_3P	72	67		
MIR6731_5P	234	210		
MIR6732_3P	93	89		
MIR6732_5P	27	26		
MIR6733_3P	142	135		
MIR6733_5P	276	265		
MIR6734_3P	142	137		
MIR6734_5P	72	67		
MIR6735_3P	35	33		
MIR6735_5P	105	99		
MIR6736_3P	129	122		
MIR6736_5P	47	45		
MIR6737_3P	195	187		
MIR6737_5P	83	78		
MIR6738_3P	156	147		
MIR6738_5P	31	28		
MIR6739_3P	194	187		
MIR6739_5P	279	268		
MIR6740_3P	161	145		
MIR6740_5P	67	59		
MIR6741_3P	5		Rejected!	
MIR6741_5P	22	22		
MIR6742_3P	99	94		
MIR6742_5P	45	43		
MIR6743_5P	38	36		
MIR6744_3P	64	63		
MIR6744_5P	48	44		
MIR6745	96	93		
MIR6746_5P	5		Rejected!	
MIR6747_3P	120	114		
MIR6747_5P	41	40		
MIR6748_3P	81	76		
MIR6748_5P	71	67		
MIR6749_3P	116	109		
MIR6750_3P	68	67		
MIR6750_5P	75	71		
MIR6751_3P	81	77		
MIR6751_5P	69	64		
MIR6752_3P	144	138		
MIR6752_5P	122	119		
MIR6753_3P	54	52		
MIR6753_5P	25	25		
MIR6754_3P	101	97		
MIR6754_5P	123	112		
MIR6755_3P	79	78		
MIR6755_5P	35	31		
MIR6756_3P	99	96		
MIR6756_5P	255	247		
MIR6757_3P	107	101		
MIR6757_5P	57	56		
MIR6758_3P	110	102		
MIR6758_5P	114	108		
MIR6759_3P	110	103		
MIR6759_5P	66	60		
MIR675_3P	65	61		
MIR6760_3P	101	94		
MIR6760_5P	115	109		
MIR6761_5P	117	110		
MIR6762_3P	124	114		
MIR6762_5P	59	55		
MIR6763_5P	109	104		
MIR6764_3P	110	108		
MIR6764_5P	236	224		
MIR6765_3P	95	91		
MIR6765_5P	7		Rejected!	
MIR6766_3P	149	145		
MIR6766_5P	237	229		
MIR6767_3P	26	23		
MIR6768_3P	140	138		
MIR6768_5P	198	191		
MIR6769A_3P	19	18		
MIR6769A_5P	48	46		
MIR6769B_3P	82	73		
MIR6769B_5P	78	75		
MIR676_3P	52	50		
MIR676_5P	158	146		
MIR6770_3P	5		Rejected!	
MIR6770_5P	185	170		
MIR6771_3P	96	92		
MIR6772_3P	71	67		
MIR6772_5P	34	33		
MIR6773_3P	106	103		
MIR6773_5P	37	36		
MIR6774_3P	6		Rejected!	
MIR6774_5P	53	50		
MIR6775_3P	82	79		
MIR6775_5P	6		Rejected!	
MIR6776_3P	63	60		
MIR6776_5P	97	92		
MIR6777_3P	55	47		
MIR6777_5P	7		Rejected!	
MIR6778_3P	222	216		
MIR6778_5P	107	98		
MIR6779_3P	69	68		
MIR6779_5P	184	172		
MIR6780A_3P	157	150		
MIR6780A_5P	233	220		
MIR6780B_3P	64	55		
MIR6780B_5P	284	267		
MIR6781_3P	85	83		
MIR6782_3P	88	84		
MIR6782_5P	39	37		
MIR6783_3P	209	202		
MIR6783_5P	157	134		
MIR6784_3P	41	38		
MIR6785_5P	514	491		
MIR6787_3P	102	98		
MIR6787_5P	27	23		
MIR6788_3P	6		Rejected!	
MIR6788_5P	136	128		
MIR6789_5P	22	21		
MIR6790_3P	5		Rejected!	
MIR6790_5P	49	44		
MIR6791_3P	82	79		
MIR6791_5P	170	164		
MIR6792_3P	126	122		
MIR6792_5P	135	126		
MIR6793_3P	84	81		
MIR6793_5P	61	53		
MIR6794_3P	85	72		
MIR6794_5P	82	81		
MIR6795_3P	14		Rejected!	
MIR6795_5P	136	128		
MIR6796_3P	60	57		
MIR6796_5P	82	80		
MIR6797_3P	60	58		
MIR6797_5P	201	188		
MIR6798_3P	39	36		
MIR6798_5P	45	41		
MIR6799_3P	119	100		
MIR6799_5P	151	141		
MIR6800_3P	29	26		
MIR6800_5P	44	42		
MIR6801_3P	51	49		
MIR6801_5P	111	95		
MIR6802_3P	42	40		
MIR6802_5P	28	25		
