NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MIR6756_3P	MIR6756_3P		96	-0.22406816	-1.0690626	0.36550307	0.6060814	1.0	2612	tags=16%, list=9%, signal=17%	
MIR191_5P	MIR191_5P		18	-0.3216112	-1.0690547	0.37959182	0.60516274	1.0	5809	tags=28%, list=20%, signal=35%	
MIR580_3P	MIR580_3P		208	-0.21818829	-1.0686874	0.3607595	0.60520613	1.0	4453	tags=19%, list=16%, signal=23%	
MIR4509	MIR4509		66	-0.24706237	-1.0685296	0.37398374	0.604681	1.0	4197	tags=21%, list=15%, signal=25%	
MIR489_3P	MIR489_3P		75	-0.24060586	-1.068447	0.3767535	0.60398316	1.0	8402	tags=37%, list=30%, signal=53%	
MIR18B_3P	MIR18B_3P		49	-0.2501647	-1.068411	0.32987553	0.6031501	1.0	5263	tags=29%, list=19%, signal=35%	
MIR627_3P	MIR627_3P		450	-0.19589642	-1.0682704	0.34663865	0.60266757	1.0	6076	tags=25%, list=21%, signal=31%	
MIR1260A_MIR1260B	MIR1260A_MIR1260B		99	-0.23215888	-1.0676104	0.36770427	0.6034357	1.0	8193	tags=38%, list=29%, signal=54%	
MIR6761_5P	MIR6761_5P		110	-0.2107333	-1.0664062	0.34969324	0.60577	1.0	6484	tags=30%, list=23%, signal=39%	
MIR4635	MIR4635		129	-0.22341679	-1.066119	0.33264464	0.60562754	1.0	6524	tags=29%, list=23%, signal=38%	
MIR1264	MIR1264		116	-0.22262293	-1.0653266	0.36897275	0.60682607	1.0	11425	tags=52%, list=40%, signal=86%	
MIR1287_5P	MIR1287_5P		60	-0.24029836	-1.0650069	0.34460887	0.606764	1.0	6743	tags=32%, list=24%, signal=41%	
MIR7157_5P	MIR7157_5P		209	-0.22325775	-1.0645236	0.36458334	0.60709304	1.0	5602	tags=24%, list=20%, signal=30%	
MIR891A_3P	MIR891A_3P		124	-0.22102208	-1.0643982	0.3752495	0.6065139	1.0	5578	tags=23%, list=20%, signal=29%	
MIR345_3P	MIR345_3P		206	-0.20192443	-1.0643252	0.3563715	0.60581106	1.0	3348	tags=16%, list=12%, signal=18%	
MIR3977	MIR3977		149	-0.22862564	-1.0634573	0.36435643	0.6071716	1.0	4807	tags=21%, list=17%, signal=25%	
MIR143_5P	MIR143_5P		128	-0.21653567	-1.0633796	0.3821656	0.6064931	1.0	8607	tags=39%, list=30%, signal=56%	
MIR1537_5P	MIR1537_5P		117	-0.241002	-1.0631878	0.36820924	0.60612226	1.0	1256	tags=11%, list=4%, signal=12%	
MIR589_5P	MIR589_5P		85	-0.22948657	-1.0627211	0.37903225	0.60638726	1.0	9663	tags=39%, list=34%, signal=59%	
MIR12123	MIR12123		461	-0.19408889	-1.0624685	0.3257732	0.6061374	1.0	6947	tags=25%, list=24%, signal=33%	
MIR4637	MIR4637		58	-0.26561087	-1.0622425	0.3747412	0.60582286	1.0	4426	tags=22%, list=16%, signal=26%	
MIR6797_3P	MIR6797_3P		58	-0.26227808	-1.0616279	0.36231884	0.6064681	1.0	9647	tags=41%, list=34%, signal=63%	
MIR569	MIR569		73	-0.23283377	-1.0615315	0.35655737	0.60580796	1.0	6823	tags=36%, list=24%, signal=47%	
MIR6893_3P	MIR6893_3P		89	-0.23710416	-1.0613943	0.3713163	0.6052708	1.0	5273	tags=25%, list=19%, signal=30%	
MIR3158_3P	MIR3158_3P		37	-0.27676845	-1.0602436	0.38791424	0.6073864	1.0	3949	tags=22%, list=14%, signal=25%	
MIR155_3P	MIR155_3P		88	-0.29370108	-1.0599377	0.41346154	0.6073303	1.0	4430	tags=23%, list=16%, signal=27%	
MIR181B_2_3P_MIR181B_3P	MIR181B_2_3P_MIR181B_3P		206	-0.22350767	-1.059812	0.36454183	0.6067806	1.0	2037	tags=12%, list=7%, signal=12%	
MIR144_3P	MIR144_3P		474	-0.22176337	-1.0595349	0.35757574	0.6066178	1.0	5177	tags=23%, list=18%, signal=27%	
